Image_Link;Title;Discription;News_Link
https://glavcom.ua/img/article/6188/93_small.jpg;Гройсман похвалив нове шкільне харчування (відео);Прем’єр повідомив, що за новими рецептами вже годуватимуть учнів понад тисячі українських шкіл;https://glavcom.ua/news/groysman-pohvaliv-nove-shkilne-harchuvannya-video-618893.html
https://glavcom.ua/img/article/6187/50_small.jpg;Українські школярі з 1 вересня вивчатимуть новий предмет; Для нового курсу «Фінансова грамотність» вже розроблено навчальну програму й підготовлено посібники;https://glavcom.ua/country/society/ukrajinski-shkolyari-z-1-veresnya-vivchatimut-noviy-predmet-618750.html
https://glavcom.ua/img/article/6180/97_small.jpg;Школярка із Харкова отримала на ЗНО максимальні 200 балів аж з трьох предметів;З математики 200 балів отримали 98 абітурієнтів, із хімії – 77;https://glavcom.ua/country/society/shkolyarka-iz-harkova-otrimala-na-zno-maksimalni-200-baliv-azh-z-troh-predmetiv-618097.html
https://glavcom.ua/img/article/6179/37_small.jpeg;Українські школярі в новому навчальному році підуть на зимові канікули ще до 25 грудня;Осінні канікули плануються в період з 28 жовтня по 3 листопада, зимові - з 23 грудня по 7 січня, весняні - з 23 по 29 березня - МОН;https://glavcom.ua/country/society/ukrajinski-shkolyari-v-novomu-navchalnomu-roci-pidut-na-zimovi-kanikuli-shche-do-25-grudnya-617937.html
https://glavcom.ua/img/article/6179/5_small.jpg;Батьків попередили, що невакциновані діти не зможуть відвідувати дитсадки та школи;Раніше Верховний суд підтвердив, що садочки і школи мають право не допускати невакцинованих дітей до освітніх закладів;https://glavcom.ua/news/batkiv-poperedili-shcho-nevakcinovani-diti-ne-zmozhut-vidviduvati-ditsadki-ta-shkoli--617905.html
https://glavcom.ua/img/article/6164/47_small.jpg;Київ лідирує серед міст України у підготовці до навчального року;Дніпровський та Голосіївський райони вже повністю готові до прийому першокласників відповідно до усіх стандартів Нової української школи;https://glavcom.ua/kyiv/news/kijiv-lidiruje-sered-mist-ukrajini-u-pidgotovci-do-navchalnogo-roku-616447.html
https://glavcom.ua/img/article/6164/47_small.jpg;Київ лідирує серед міст України у підготовці до навчального року;Дніпровський та Голосіївський райони вже повністю готові до прийому першокласників відповідно до усіх стандартів Нової української школи;https://glavcom.ua/kyiv/news/kijiv-lidiruje-sered-mist-ukrajini-u-pidgotovci-do-navchalnogo-roku-616447.html
https://glavcom.ua/img/article/6158/76_small.jpeg;Міністерство освіти планує скоротити кількість заяв абітурієнтів на бюджет до п'яти;Зі слів міністра, цього року було більше абітурієнтів, але менша кількість заяв, що свідчить про те, що вони були більш сфокусовані на бажаних вишах і спеціальностях;https://glavcom.ua/news/ministerstvo-osviti-planuje-skorotiti-kilkist-zayav-abiturijentiv-na-byudzhet-do-pyati-615876.html
https://glavcom.ua/img/article/6142/23_small.jpg;Міносвіти назвало топ-10 спеціальностей, на які вступити найважче;Вступити на бакалавра бюджетної форми навчання найскладніше було на «міжнародні» спеціальності – прохідний бал на них становить понад 190;https://glavcom.ua/news/minosviti-nazvalo-top-10-specialnostey-na-yaki-vstupiti-nayvazhche-614223.html
https://glavcom.ua/img/article/6133/12_small.jpg;Міносвіти: понад 60 тисяч вступників отримали рекомендації на бюджет;Рекомендація надається лише на одне бюджетне місце, за однією заявою;https://glavcom.ua/country/science/minosviti-ponad-60-tisyach-vstupnikiv-otrimali-rekomendaciji-na-byudzhet--613312.html
